更新时间: 2026-05-01 00:52:07（北京时间）

更新时间,#genre#
2026-05-01 00:52:07,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

西藏卫视,http://123.60.75.150:540/rtp/233.18.204.222:5140$上海市电信_result_ip
三沙卫视,http://123.60.75.150:540/rtp/239.45.0.56:5140$上海市电信_result_ip
三沙卫视,http://123.60.75.150:540/rtp/233.18.204.172:5140$上海市电信_result_ip
三沙卫视,http://223.10.214.111:6000/rtp/239.1.1.70:8070$山西电信
兵团卫视,http://123.60.75.150:540/rtp/233.18.204.221:5140$上海市电信_result_ip
农林卫视,http://223.10.214.111:6000/rtp/239.1.1.73:8073$山西电信
山东教育卫视,http://223.10.214.111:6000/rtp/239.1.1.74:8074$山西电信
中国教育1台,http://123.60.75.150:540/rtp/239.45.1.125:5140$上海市电信_result_ip
中国教育1台,http://123.60.75.150:540/rtp/233.18.204.98:5140$上海市电信_result_ip
中国教育2台,http://123.60.75.150:540/rtp/239.45.1.52:5140$上海市电信_result_ip
中国教育2台,http://123.60.75.150:540/rtp/233.18.204.154:5140$上海市电信_result_ip
中国教育4台,http://123.60.75.150:540/rtp/239.45.1.243:5140$上海市电信_result_ip
中国教育4台,http://123.60.75.150:540/rtp/233.18.204.111:5140$上海市电信_result_ip
早期教育,http://123.60.75.150:540/rtp/239.45.0.54:5140$上海市电信_result_ip
早期教育,http://123.60.75.150:540/rtp/233.18.204.187:5140$上海市电信_result_ip

数字频道,#genre#
CHC动作电影,http://123.60.75.150:540/rtp/239.45.0.41:5140$上海市电信_result_ip
CHC动作电影,http://123.60.75.150:540/rtp/233.18.204.174:5140$上海市电信_result_ip
CHC家庭影院,http://123.60.75.150:540/rtp/239.45.0.40:5140$上海市电信_result_ip
CHC家庭影院,http://123.60.75.150:540/rtp/233.18.204.173:5140$上海市电信_result_ip
CHC影迷电影,http://123.60.75.150:540/rtp/239.45.0.42:5140$上海市电信_result_ip
